Id,Label,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Local Clustering Coefficient,Number of Connections (Degree),Community_Id
Joyce Meyer,Joyce Meyer,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Ashley Marquis,Ashley Marquis,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Phil Ruffin,Phil Ruffin,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Elon Musk,Elon Musk,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Christopher Ruddy,Christopher Ruddy,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Sonny Perdue,Sonny Perdue,0.006622516556291391,0.006622516556291391,0.4136986301369863,0.0507830719858521,0.0,2,22
Paul Manafort,Paul Manafort,0.026490066225165563,0.045895579855228706,0.4206128133704735,0.05244293826363972,0.0,8,23
Edwin Feulner,Edwin Feulner,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Linda Mcmahon,Linda Mcmahon,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Julia Hahn,Julia Hahn,0.009933774834437087,0.0001833476344488203,0.41770401106500693,0.060304134093694985,0.6666666666666666,3,31
John F. Kelly,John F. Kelly,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Elaine Chao,Elaine Chao,0.016556291390728478,0.026215044773492333,0.4182825484764543,0.0519696181755673,0.2,5,12
Dina Powell,Dina Powell,0.006622516556291391,0.0,0.416551724137931,0.05647884173241377,1.0,2,14
Robert Lighthizer,Robert Lighthizer,0.006622516556291391,0.006622516556291391,0.4136986301369863,0.0507830719858521,0.0,2,27
Curtis Dubay,Curtis Dubay,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Tom Bossert,Tom Bossert,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Corey Lewandowski,Corey Lewandowski,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Michael Pompeo,Michael Pompeo,0.006622516556291391,0.006622516556291391,0.4136986301369863,0.0507830719858521,0.0,2,28
Reince Priebus,Reince Priebus,0.016556291390728478,0.019801544520472596,0.416551724137931,0.05533740987151943,0.1,5,29
Jennifer Korn,Jennifer Korn,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Sam Nunberg,Sam Nunberg,0.006622516556291391,0.0,0.4154057771664374,0.055224080420224426,1.0,2,16
Andeliz Castillo,Andeliz Castillo,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Ivanka Trump,Ivanka Trump,0.04304635761589404,0.03038803693354748,0.4402332361516035,0.0823076134408,0.16666666666666666,13,14
Edwin Meese,Edwin Meese,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Brian Burns,Brian Burns,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Donald Trump Jr.,Donald Trump Jr.,0.03642384105960265,0.03225818280492545,0.4241573033707865,0.07334749867593608,0.16363636363636364,11,14
Michael J. Ellis,Michael J. Ellis,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
John Eisenberg,John Eisenberg,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Thomas Pyle,Thomas Pyle,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Uttam Dhillon,Uttam Dhillon,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Terry Branstad,Terry Branstad,0.006622516556291391,0.006622516556291391,0.4136986301369863,0.0507830719858521,0.0,2,30
Jamie Dimon,Jamie Dimon,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Raj Shah,Raj Shah,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Ben Howard,Ben Howard,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Sarah Makin,Sarah Makin,0.006622516556291391,0.0,0.41597796143250687,0.05643393485525928,1.0,2,1
Robert Mercer,Robert Mercer,0.016556291390728478,0.009816432348389845,0.41770401106500693,0.06130132457075549,0.4,5,31
Rick Dearborn,Rick Dearborn,0.006622516556291391,0.0,0.41597796143250687,0.05525365007944226,1.0,2,16
Timothy Pataki,Timothy Pataki,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Jason D. Meister,Jason D. Meister,0.006622516556291391,0.0,0.4131326949384405,0.054461670513640634,1.0,2,0
Bill Mcginley,Bill Mcginley,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Barry Bennett,Barry Bennett,0.006622516556291391,0.0,0.4131326949384405,0.054461670513640634,1.0,2,0
Chris Christie,Chris Christie,0.009933774834437087,0.006622516556291391,0.41483516483516486,0.05479125140863662,0.3333333333333333,3,24
Elena Gorlova,Elena Gorlova,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Carl C. Icahn,Carl C. Icahn,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Jarrod P. Agen,Jarrod P. Agen,0.009933774834437087,0.006622516556291391,0.4171270718232044,0.05673163230716067,0.3333333333333333,3,1
Carter Page,Carter Page,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Newt Gingrich,Newt Gingrich,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Christine Ciccone,Christine Ciccone,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Aras Agalarov,Aras Agalarov,0.006622516556291391,0.0,0.4131326949384405,0.054461670513640634,1.0,2,0
Rex Tillerson,Rex Tillerson,0.013245033112582781,0.019548524784933224,0.4171270718232044,0.0517346540817018,0.3333333333333333,4,2
Jeremy Katz,Jeremy Katz,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Dan Scavino,Dan Scavino,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Joseph Kellogg,Joseph Kellogg,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Mangal Prabhat Lodha,Mangal Prabhat Lodha,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Sean Spicer,Sean Spicer,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Sergei Millian,Sergei Millian,0.009933774834437087,0.01313502453191349,0.4171270718232044,0.05137586494607446,0.0,3,2
Stephanie Grisham,Stephanie Grisham,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
"Roger J. Stone, Jr.","Roger J. Stone, Jr.",0.006622516556291391,0.006622516556291391,0.4136986301369863,0.0507830719858521,0.0,2,3
Ginni Rometty,Ginni Rometty,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Michael D. Cohen,Michael D. Cohen,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Ryan Jarmula,Ryan Jarmula,0.006622516556291391,0.0,0.41597796143250687,0.05643393485525928,1.0,2,1
Kathleen Troia Mcfarland,Kathleen Troia Mcfarland,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Peter Navarro,Peter Navarro,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Kalpesh Mehta,Kalpesh Mehta,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Robert Kraft,Robert Kraft,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Ross Worthington,Ross Worthington,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
James Mattis,James Mattis,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
David M. Friedman,David M. Friedman,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Felipe Yaryura,Felipe Yaryura,0.013245033112582781,0.0,0.4200278164116829,0.06661767830009174,1.0,4,14
Vince Haley,Vince Haley,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Lindsay Walters,Lindsay Walters,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
Justin Clark,Justin Clark,0.0033112582781456954,0.0,0.412568306010929,0.050516589386534236,0.0,1,0
